time_s,RequestScannerOn_raw,RecordScannerOn_raw,Periodicity_raw,Phase_raw,Left-Right_raw,Ant.-Post._raw,Head-Feet_raw,MarkerBlockFound_raw
8.48,0.0,0.0,51739.0,8665.0,348.0,10311.0,65094.0,0.0
8.52,0.0,0.0,50457.0,9316.0,296.0,11929.0,65123.0,0.0
8.56,0.0,0.0,49035.0,9974.0,340.0,13571.0,65156.0,0.0
8.6,0.0,0.0,46210.0,10631.0,826.0,15511.0,65219.0,0.0
8.64,0.0,0.0,43948.0,11278.0,1794.0,17503.0,65279.0,0.0
8.68,0.0,0.0,42108.0,11939.0,2060.0,19477.0,65328.0,0.0
8.72,0.0,0.0,41954.0,12587.0,3328.0,21549.0,65389.0,0.0
8.76,0.0,0.0,47130.0,13241.0,3394.0,23258.0,65339.0,0.0
8.8,0.0,0.0,47395.0,13894.0,3168.0,25134.0,65328.0,0.0
8.84,0.0,0.0,46117.0,14542.0,2470.0,26902.0,65304.0,0.0
8.88,0.0,0.0,46522.0,15202.0,1395.0,28726.0,65280.0,0.0
8.92,0.0,0.0,42585.0,15853.0,769.0,30717.0,65302.0,0.0
8.96,0.0,0.0,42991.0,16507.0,686.0,32832.0,65339.0,0.0
9.0,0.0,0.0,43396.0,17164.0,1313.0,34921.0,65345.0,0.0
9.04,0.0,0.0,44221.0,17812.0,2175.0,37029.0,65373.0,0.0
9.08,0.0,0.0,43787.0,18457.0,2553.0,39097.0,65377.0,0.0
9.12,0.0,0.0,45031.0,19110.0,2573.0,41239.0,65447.0,0.0
9.16,0.0,0.0,39564.0,19769.0,2496.0,43425.0,65527.0,0.0
9.2,0.0,0.0,40669.0,20424.0,2336.0,45082.0,65461.0,0.0
9.24,0.0,0.0,43310.0,21077.0,1970.0,46719.0,65427.0,0.0
9.28,0.0,0.0,43854.0,21753.0,1617.0,48238.0,65359.0,0.0
9.32,0.0,0.0,46911.0,22405.0,1251.0,49676.0,65299.0,0.0
9.36,0.0,0.0,48431.0,23063.0,1156.0,51100.0,65231.0,0.0
9.4,0.0,0.0,48833.0,23716.0,822.0,52445.0,65179.0,0.0
9.44,0.0,0.0,53838.0,24367.0,1069.0,53648.0,65090.0,0.0
9.48,0.0,0.0,53402.0,25028.0,1582.0,55054.0,65081.0,0.0
9.52,0.0,0.0,53663.0,25681.0,1725.0,56357.0,65088.0,0.0
9.56,0.0,0.0,53227.0,26340.0,1871.0,57822.0,65154.0,0.0
9.6,0.0,0.0,56692.0,26994.0,1757.0,58788.0,65113.0,0.0
9.64,0.0,0.0,58344.0,27647.0,1666.0,59755.0,65102.0,0.0
9.68,0.0,0.0,58325.0,28307.0,1737.0,60635.0,65104.0,0.0
9.72,0.0,0.0,59558.0,28960.0,1604.0,61436.0,65122.0,0.0
9.76,0.0,0.0,60929.0,29618.0,1645.0,62223.0,65156.0,0.0
9.8,0.0,0.0,59658.0,30272.0,1558.0,62769.0,65164.0,0.0
9.84,0.0,0.0,59221.0,30924.0,1416.0,62934.0,65081.0,0.0
9.88,0.0,0.0,60313.0,31584.0,1294.0,63145.0,65060.0,0.0
9.92,0.0,0.0,60849.0,32237.0,1112.0,63279.0,65060.0,0.0
9.96,0.0,0.0,59440.0,32896.0,1256.0,63370.0,65070.0,0.0
10.0,0.0,0.0,59421.0,33550.0,1213.0,63446.0,65126.0,0.0
10.04,0.0,0.0,60234.0,34203.0,1097.0,63144.0,65087.0,0.0
10.08,0.0,0.0,59381.0,34847.0,1179.0,62809.0,65085.0,0.0
10.12,0.0,0.0,58530.0,35500.0,1245.0,62512.0,65137.0,0.0
10.16,0.0,0.0,58788.0,36160.0,1264.0,61783.0,65081.0,0.0
10.2,0.0,0.0,58907.0,36816.0,1350.0,61153.0,65110.0,0.0
10.24,0.0,0.0,58056.0,37468.0,1427.0,60434.0,65129.0,0.0
10.28,0.0,0.0,56236.0,38143.0,1500.0,59695.0,65184.0,0.0
10.32,0.0,0.0,54556.0,38795.0,1559.0,58518.0,65134.0,0.0
10.36,0.0,0.0,53985.0,39453.0,1528.0,57417.0,65141.0,0.0
10.4,0.0,0.0,51891.0,40109.0,1593.0,56373.0,65204.0,0.0
