time_s,RequestScannerOn_raw,RecordScannerOn_raw,Periodicity_raw,Phase_raw,Left-Right_raw,Ant.-Post._raw,Head-Feet_raw,MarkerBlockFound_raw
5.4,0.0,0.0,27645.0,59275.0,3014.0,14771.0,64505.0,0.0
5.44,0.0,0.0,32463.0,59936.0,2798.0,11523.0,64274.0,0.0
5.48,0.0,0.0,39345.0,60600.0,2787.0,8530.0,64064.0,0.0
5.52,0.0,0.0,43919.0,61240.0,3207.0,7444.0,64480.0,0.0
5.56,0.0,0.0,45040.0,61904.0,3462.0,5580.0,64490.0,0.0
5.6,0.0,0.0,45241.0,62544.0,3565.0,4781.0,64774.0,0.0
5.64,0.0,0.0,47508.0,63210.0,3811.0,4000.0,64968.0,0.0
5.68,0.0,0.0,51606.0,63867.0,3760.0,2984.0,64965.0,0.0
5.72,0.0,0.0,54554.0,64503.0,3853.0,2501.0,65037.0,0.0
5.76,0.0,0.0,56352.0,65167.0,3924.0,2570.0,65185.0,0.0
5.8,0.0,0.0,57461.0,245.0,3867.0,2675.0,65206.0,0.0
5.84,0.0,0.0,53078.0,909.0,3623.0,1929.0,64793.0,0.0
5.88,0.0,0.0,50530.0,1584.0,3631.0,2688.0,64830.0,0.0
5.92,0.0,0.0,48899.0,2219.0,3528.0,3406.0,64690.0,0.0
5.96,0.0,0.0,44530.0,2880.0,3352.0,4024.0,64406.0,0.0
6.0,0.0,0.0,44045.0,3527.0,3406.0,5964.0,64507.0,0.0
6.04,0.0,0.0,45158.0,4197.0,3252.0,8869.0,64853.0,0.0
6.08,0.0,0.0,30998.0,4867.0,3099.0,12013.0,65137.0,0.0
6.12,0.0,0.0,27562.0,5509.0,2782.0,13982.0,64934.0,0.0
6.16,0.0,0.0,26407.0,6170.0,2957.0,15873.0,64680.0,0.0
6.2,0.0,0.0,25480.0,6821.0,3138.0,18371.0,64619.0,0.0
6.24,0.0,0.0,25237.0,7484.0,3227.0,20955.0,64520.0,0.0
6.28,0.0,0.0,24540.0,8153.0,3149.0,24539.0,64749.0,0.0
6.32,0.0,0.0,23389.0,8801.0,2857.0,28047.0,64951.0,0.0
6.36,0.0,0.0,24509.0,9469.0,2380.0,30983.0,64917.0,0.0
6.4,0.0,0.0,25628.0,10121.0,2214.0,33036.0,64609.0,0.0
6.44,0.0,0.0,26292.0,10777.0,2291.0,36011.0,64687.0,0.0
6.48,0.0,0.0,27408.0,11452.0,2432.0,38801.0,64701.0,0.0
6.52,0.0,0.0,29655.0,12094.0,2621.0,41369.0,64699.0,0.0
6.56,0.0,0.0,32804.0,12780.0,2230.0,44785.0,65033.0,0.0
6.6,0.0,0.0,36175.0,13436.0,1092.0,47308.0,65104.0,0.0
6.64,0.0,0.0,39090.0,14108.0,873.0,49370.0,65046.0,0.0
6.68,0.0,0.0,42227.0,14759.0,527.0,49531.0,64417.0,0.0
6.72,0.0,0.0,43329.0,15407.0,648.0,51053.0,64368.0,0.0
6.76,0.0,0.0,44881.0,16074.0,644.0,52042.0,64141.0,0.0
6.8,0.0,0.0,47783.0,16717.0,691.0,53700.0,64221.0,0.0
6.84,0.0,0.0,46177.0,17418.0,722.0,56508.0,64768.0,0.0
6.88,0.0,0.0,46824.0,18081.0,899.0,57870.0,64831.0,0.0
6.92,0.0,0.0,51744.0,18734.0,783.0,58306.0,64656.0,0.0
6.96,0.0,0.0,54635.0,19388.0,606.0,57909.0,64243.0,0.0
7.0,0.0,0.0,56624.0,20022.0,558.0,58365.0,64221.0,0.0
7.04,0.0,0.0,57263.0,20704.0,356.0,58595.0,64123.0,0.0
7.08,0.0,0.0,57676.0,21335.0,321.0,58900.0,64084.0,0.0
7.12,0.0,0.0,58538.0,21986.0,331.0,59235.0,64085.0,0.0
7.16,0.0,0.0,57606.0,22639.0,410.0,59755.0,64167.0,0.0
7.2,0.0,0.0,57794.0,23278.0,653.0,60647.0,64415.0,0.0
7.24,0.0,0.0,58654.0,23966.0,761.0,61383.0,64584.0,0.0
7.28,0.0,0.0,58618.0,24602.0,675.0,61585.0,64619.0,0.0
7.32,0.0,0.0,58359.0,25259.0,600.0,61447.0,64544.0,0.0
7.36,0.0,0.0,59887.0,25916.0,652.0,61238.0,64464.0,0.0
7.4,0.0,0.0,60967.0,26733.0,654.0,60981.0,64380.0,0.0
7.44,0.0,0.0,60037.0,27398.0,574.0,60712.0,64279.0,0.0
7.48,0.0,0.0,61339.0,28032.0,570.0,60554.0,64224.0,0.0
7.52,0.0,0.0,61970.0,28699.0,593.0,60728.0,64290.0,0.0
7.56,0.0,0.0,61709.0,29349.0,720.0,60903.0,64349.0,0.0
7.6,0.0,0.0,62562.0,29994.0,541.0,61055.0,64396.0,0.0
7.64,0.0,0.0,62746.0,30680.0,509.0,60703.0,64263.0,0.0
7.68,0.0,0.0,63820.0,31319.0,621.0,60976.0,64363.0,0.0
7.72,0.0,0.0,63337.0,31988.0,737.0,61227.0,64448.0,0.0
7.76,0.0,0.0,63076.0,32637.0,685.0,61003.0,64368.0,0.0
7.8,0.0,0.0,64813.0,33284.0,730.0,60751.0,64278.0,0.0
7.84,0.0,0.0,64996.0,33969.0,552.0,60856.0,64327.0,0.0
